Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 830: loss 1.3912, time 72.66ms, mfu 4.89%
iter 840: loss 1.3987, time 72.75ms, mfu 4.91%
iter 850: loss 1.3878, time 72.67ms, mfu 4.93%
iter 860: loss 1.3964, time 72.75ms, mfu 4.95%
iter 870: loss 1.3952, time 72.63ms, mfu 4.97%
iter 880: loss 1.3703, time 72.69ms, mfu 4.99%
iter 890: loss 1.3883, time 72.67ms, mfu 5.00%
iter 900: loss 1.3733, time 72.63ms, mfu 5.01%
iter 910: loss 1.3177, time 72.79ms, mfu 5.02%
iter 920: loss 1.3616, time 72.70ms, mfu 5.03%
iter 930: loss 1.3596, time 72.73ms, mfu 5.04%
iter 940: loss 1.3446, time 72.66ms, mfu 5.05%
iter 950: loss 1.3478, time 72.68ms, mfu 5.06%
iter 960: loss 1.3556, time 72.49ms, mfu 5.07%
iter 970: loss 1.3581, time 72.74ms, mfu 5.07%
iter 980: loss 1.3552, time 72.69ms, mfu 5.08%
iter 990: loss 1.3376, time 72.65ms, mfu 5.08%
step 1000: train loss 1.2704, val loss 1.5176
saving checkpoint to out-shakespeare-char
iter 1000: loss 1.3292, time 8375.85ms, mfu 4.58%
iter 1010: loss 1.3330, time 72.79ms, mfu 4.63%
iter 1020: loss 1.3136, time 72.64ms, mfu 4.68%
iter 1030: loss 1.3343, time 72.59ms, mfu 4.73%
iter 1040: loss 1.3589, time 72.60ms, mfu 4.77%
iter 1050: loss 1.2950, time 72.52ms, mfu 4.81%
iter 1060: loss 1.3354, time 72.64ms, mfu 4.84%
iter 1070: loss 1.3304, time 72.81ms, mfu 4.87%
iter 1080: loss 1.3328, time 72.63ms, mfu 4.89%
iter 1090: loss 1.3541, time 72.60ms, mfu 4.92%
iter 1100: loss 1.3181, time 72.62ms, mfu 4.94%
iter 1110: loss 1.3013, time 72.58ms, mfu 4.96%
iter 1120: loss 1.2876, time 72.58ms, mfu 4.98%
iter 1130: loss 1.2888, time 72.78ms, mfu 4.99%
iter 1140: loss 1.2974, time 72.60ms, mfu 5.00%
iter 1150: loss 1.3034, time 72.61ms, mfu 5.02%
iter 1160: loss 1.3248, time 72.59ms, mfu 5.03%
iter 1170: loss 1.2909, time 72.59ms, mfu 5.04%
iter 1180: loss 1.3243, time 72.59ms, mfu 5.05%
iter 1190: loss 1.2666, time 72.75ms, mfu 5.06%
iter 1200: loss 1.2879, time 72.56ms, mfu 5.06%
iter 1210: loss 1.2657, time 72.63ms, mfu 5.07%
iter 1220: loss 1.3075, time 72.62ms, mfu 5.08%
iter 1230: loss 1.2997, time 72.57ms, mfu 5.08%
iter 1240: loss 1.2953, time 72.59ms, mfu 5.09%
step 1250: train loss 1.2045, val loss 1.4964
saving checkpoint to out-shakespeare-char
iter 1250: loss 1.2722, time 8376.53ms, mfu 4.58%
iter 1260: loss 1.2830, time 72.64ms, mfu 4.64%
iter 1270: loss 1.2653, time 72.67ms, mfu 4.69%
iter 1280: loss 1.2571, time 72.71ms, mfu 4.73%
iter 1290: loss 1.2845, time 72.67ms, mfu 4.77%
iter 1300: loss 1.3027, time 72.72ms, mfu 4.81%
iter 1310: loss 1.2349, time 72.73ms, mfu 4.84%
iter 1320: loss 1.3061, time 72.86ms, mfu 4.87%
iter 1330: loss 1.2606, time 72.67ms, mfu 4.89%
iter 1340: loss 1.3001, time 72.69ms, mfu 4.91%
iter 1350: loss 1.2611, time 72.67ms, mfu 4.94%
iter 1360: loss 1.2745, time 72.68ms, mfu 4.96%
iter 1370: loss 1.2488, time 72.67ms, mfu 4.97%
iter 1380: loss 1.2584, time 72.68ms, mfu 4.99%
iter 1390: loss 1.2489, time 72.66ms, mfu 5.00%
iter 1400: loss 1.2549, time 72.73ms, mfu 5.01%
iter 1410: loss 1.2441, time 72.93ms, mfu 5.02%
iter 1420: loss 1.2708, time 72.68ms, mfu 5.03%
iter 1430: loss 1.2486, time 72.73ms, mfu 5.04%
iter 1440: loss 1.2555, time 72.65ms, mfu 5.05%
iter 1450: loss 1.2328, time 72.68ms, mfu 5.06%
iter 1460: loss 1.2428, time 72.65ms, mfu 5.07%
iter 1470: loss 1.2187, time 72.64ms, mfu 5.07%
iter 1480: loss 1.2191, time 72.67ms, mfu 5.08%
iter 1490: loss 1.2324, time 72.64ms, mfu 5.08%
step 1500: train loss 1.1503, val loss 1.4810
saving checkpoint to out-shakespeare-char
iter 1500: loss 1.1834, time 8383.19ms, mfu 4.58%
iter 1510: loss 1.2393, time 72.70ms, mfu 4.63%
iter 1520: loss 1.2227, time 72.72ms, mfu 4.68%
iter 1530: loss 1.2509, time 72.68ms, mfu 4.73%
iter 1540: loss 1.1892, time 72.70ms, mfu 4.77%
iter 1550: loss 1.2329, time 72.76ms, mfu 4.80%
iter 1560: loss 1.2076, time 72.69ms, mfu 4.83%
iter 1570: loss 1.2420, time 72.82ms, mfu 4.86%
iter 1580: loss 1.2072, time 72.69ms, mfu 4.89%
iter 1590: loss 1.1915, time 72.70ms, mfu 4.91%
iter 1600: loss 1.1954, time 72.67ms, mfu 4.93%
iter 1610: loss 1.2384, time 72.68ms, mfu 4.95%
iter 1620: loss 1.1843, time 72.63ms, mfu 4.97%
iter 1630: loss 1.2085, time 72.66ms, mfu 4.99%
iter 1640: loss 1.2028, time 72.69ms, mfu 5.00%
iter 1650: loss 1.1824, time 72.74ms, mfu 5.01%
iter 1660: loss 1.2141, time 72.82ms, mfu 5.02%
iter 1670: loss 1.1948, time 72.70ms, mfu 5.03%
iter 1680: loss 1.2043, time 72.83ms, mfu 5.04%
iter 1690: loss 1.1973, time 72.69ms, mfu 5.05%
iter 1700: loss 1.1838, time 72.70ms, mfu 5.06%
iter 1710: loss 1.1795, time 72.70ms, mfu 5.06%
iter 1720: loss 1.1795, time 72.67ms, mfu 5.07%
iter 1730: loss 1.2025, time 72.66ms, mfu 5.08%
iter 1740: loss 1.1635, time 72.68ms, mfu 5.08%
step 1750: train loss 1.1022, val loss 1.4663
saving checkpoint to out-shakespeare-char
iter 1750: loss 1.1854, time 8377.04ms, mfu 4.58%
iter 1760: loss 1.1907, time 72.58ms, mfu 4.63%
iter 1770: loss 1.1990, time 72.63ms, mfu 4.68%
iter 1780: loss 1.1900, time 72.59ms, mfu 4.73%
iter 1790: loss 1.1956, time 72.60ms, mfu 4.77%
iter 1800: loss 1.1810, time 72.59ms, mfu 4.81%
iter 1810: loss 1.1588, time 72.61ms, mfu 4.84%
iter 1820: loss 1.1647, time 72.60ms, mfu 4.87%
iter 1830: loss 1.1705, time 72.76ms, mfu 4.89%
iter 1840: loss 1.1601, time 72.59ms, mfu 4.92%
iter 1850: loss 1.1623, time 72.60ms, mfu 4.94%
iter 1860: loss 1.1738, time 72.71ms, mfu 4.96%
iter 1870: loss 1.1397, time 72.56ms, mfu 4.97%
iter 1880: loss 1.1802, time 72.63ms, mfu 4.99%
iter 1890: loss 1.1723, time 72.65ms, mfu 5.00%
iter 1900: loss 1.1234, time 72.59ms, mfu 5.02%
iter 1910: loss 1.1637, time 72.66ms, mfu 5.03%
iter 1920: loss 1.1711, time 72.58ms, mfu 5.04%
iter 1930: loss 1.1492, time 72.61ms, mfu 5.05%
iter 1940: loss 1.1252, time 72.58ms, mfu 5.06%
iter 1950: loss 1.1336, time 72.61ms, mfu 5.06%
iter 1960: loss 1.1539, time 72.60ms, mfu 5.07%
iter 1970: loss 1.1482, time 72.63ms, mfu 5.08%
iter 1980: loss 1.1476, time 72.66ms, mfu 5.08%
iter 1990: loss 1.1526, time 72.60ms, mfu 5.09%
step 2000: train loss 1.0584, val loss 1.4825
iter 2000: loss 1.1326, time 8240.30ms, mfu 4.58%
iter 2010: loss 1.1332, time 72.57ms, mfu 4.64%
iter 2020: loss 1.1168, time 72.61ms, mfu 4.69%
iter 2030: loss 1.1482, time 72.60ms, mfu 4.73%
iter 2040: loss 1.1438, time 72.59ms, mfu 4.77%
iter 2050: loss 1.1158, time 72.67ms, mfu 4.81%
iter 2060: loss 1.1050, time 72.59ms, mfu 4.84%
iter 2070: loss 1.1290, time 72.59ms, mfu 4.87%
iter 2080: loss 1.1145, time 72.62ms, mfu 4.90%
iter 2090: loss 1.1357, time 72.59ms, mfu 4.92%
iter 2100: loss 1.1363, time 72.57ms, mfu 4.94%
iter 2110: loss 1.1293, time 72.76ms, mfu 4.96%
iter 2120: loss 1.1295, time 72.58ms, mfu 4.98%
iter 2130: loss 1.1382, time 72.60ms, mfu 4.99%
iter 2140: loss 1.1323, time 72.64ms, mfu 5.01%
iter 2150: loss 1.1168, time 72.63ms, mfu 5.02%
iter 2160: loss 1.1450, time 72.63ms, mfu 5.03%
iter 2170: loss 1.1318, time 72.69ms, mfu 5.04%
iter 2180: loss 1.1181, time 72.63ms, mfu 5.05%
iter 2190: loss 1.1130, time 72.64ms, mfu 5.06%
iter 2200: loss 1.1260, time 72.61ms, mfu 5.06%
iter 2210: loss 1.1148, time 72.54ms, mfu 5.07%
iter 2220: loss 1.1186, time 72.60ms, mfu 5.08%
iter 2230: loss 1.1114, time 72.77ms, mfu 5.08%
iter 2240: loss 1.1281, time 72.67ms, mfu 5.09%
step 2250: train loss 1.0117, val loss 1.4814
iter 2250: loss 1.1103, time 8247.48ms, mfu 4.58%
iter 2260: loss 1.1122, time 72.71ms, mfu 4.64%
iter 2270: loss 1.1296, time 72.62ms, mfu 4.69%
iter 2280: loss 1.0910, time 72.61ms, mfu 4.73%
iter 2290: loss 1.1369, time 72.63ms, mfu 4.77%
iter 2300: loss 1.1203, time 72.66ms, mfu 4.81%
iter 2310: loss 1.1027, time 72.57ms, mfu 4.84%
iter 2320: loss 1.0979, time 72.70ms, mfu 4.87%
iter 2330: loss 1.1015, time 72.56ms, mfu 4.89%
iter 2340: loss 1.1179, time 72.61ms, mfu 4.92%
iter 2350: loss 1.1028, time 72.58ms, mfu 4.94%
iter 2360: loss 1.1089, time 72.56ms, mfu 4.96%
iter 2370: loss 1.0894, time 72.61ms, mfu 4.98%
iter 2380: loss 1.0814, time 72.73ms, mfu 4.99%
iter 2390: loss 1.0810, time 72.57ms, mfu 5.01%
iter 2400: loss 1.0837, time 72.62ms, mfu 5.02%
iter 2410: loss 1.0766, time 72.55ms, mfu 5.03%
iter 2420: loss 1.0696, time 72.64ms, mfu 5.04%
iter 2430: loss 1.0543, time 72.64ms, mfu 5.05%
iter 2440: loss 1.0537, time 72.73ms, mfu 5.06%
iter 2450: loss 1.0630, time 72.57ms, mfu 5.06%
iter 2460: loss 1.0874, time 72.66ms, mfu 5.07%
iter 2470: loss 1.0881, time 72.61ms, mfu 5.08%
iter 2480: loss 1.0839, time 72.59ms, mfu 5.08%
iter 2490: loss 1.0517, time 72.64ms, mfu 5.09%
step 2500: train loss 0.9574, val loss 1.4968
iter 2500: loss 1.0817, time 8254.12ms, mfu 4.58%
iter 2510: loss 1.0658, time 72.64ms, mfu 4.64%
iter 2520: loss 1.0476, time 72.61ms, mfu 4.69%
iter 2530: loss 1.0572, time 72.62ms, mfu 4.73%
iter 2540: loss 1.0475, time 72.62ms, mfu 4.77%
iter 2550: loss 1.0635, time 72.62ms, mfu 4.81%
iter 2560: loss 1.0519, time 72.60ms, mfu 4.84%
iter 2570: loss 1.0726, time 72.60ms, mfu 4.87%
iter 2580: loss 1.0715, time 72.59ms, mfu 4.90%
iter 2590: loss 1.0577, time 72.60ms, mfu 4.92%
iter 2600: loss 1.0680, time 72.62ms, mfu 4.94%
iter 2610: loss 1.0474, time 72.62ms, mfu 4.96%
iter 2620: loss 1.0442, time 72.88ms, mfu 4.97%
iter 2630: loss 1.0262, time 72.69ms, mfu 4.99%
iter 2640: loss 1.0438, time 72.67ms, mfu 5.00%
iter 2650: loss 1.0736, time 72.58ms, mfu 5.02%
iter 2660: loss 1.0377, time 72.61ms, mfu 5.03%
iter 2670: loss 1.0202, time 72.67ms, mfu 5.04%
iter 2680: loss 1.0472, time 72.57ms, mfu 5.05%
iter 2690: loss 1.0527, time 72.60ms, mfu 5.06%
iter 2700: loss 1.0228, time 72.60ms, mfu 5.06%
iter 2710: loss 1.0461, time 72.60ms, mfu 5.07%
iter 2720: loss 1.0444, time 72.61ms, mfu 5.08%
iter 2730: loss 1.0592, time 72.67ms, mfu 5.08%
iter 2740: loss 1.0265, time 72.60ms, mfu 5.09%
step 2750: train loss 0.9138, val loss 1.5204
iter 2750: loss 1.0338, time 8257.57ms, mfu 4.58%
iter 2760: loss 1.0242, time 72.57ms, mfu 4.64%
iter 2770: loss 1.0208, time 72.80ms, mfu 4.69%
iter 2780: loss 1.0242, time 72.58ms, mfu 4.73%
iter 2790: loss 1.0331, time 72.58ms, mfu 4.77%
iter 2800: loss 1.0058, time 72.62ms, mfu 4.81%
iter 2810: loss 1.0393, time 72.59ms, mfu 4.84%
iter 2820: loss 1.0230, time 72.58ms, mfu 4.87%
iter 2830: loss 1.0314, time 72.70ms, mfu 4.89%
iter 2840: loss 0.9866, time 72.60ms, mfu 4.92%
iter 2850: loss 1.0251, time 72.59ms, mfu 4.94%
iter 2860: loss 1.0256, time 72.59ms, mfu 4.96%
iter 2870: loss 1.0015, time 72.67ms, mfu 4.98%
iter 2880: loss 1.0406, time 72.60ms, mfu 4.99%
iter 2890: loss 1.0072, time 72.69ms, mfu 5.01%
iter 2900: loss 0.9896, time 72.58ms, mfu 5.02%
iter 2910: loss 1.0353, time 72.61ms, mfu 5.03%
iter 2920: loss 1.0101, time 72.59ms, mfu 5.04%
iter 2930: loss 0.9798, time 72.57ms, mfu 5.05%
iter 2940: loss 0.9911, time 72.59ms, mfu 5.06%
iter 2950: loss 1.0182, time 72.74ms, mfu 5.06%
iter 2960: loss 0.9977, time 72.58ms, mfu 5.07%
iter 2970: loss 0.9934, time 72.65ms, mfu 5.08%
iter 2980: loss 0.9892, time 72.61ms, mfu 5.08%
iter 2990: loss 0.9813, time 72.59ms, mfu 5.09%
step 3000: train loss 0.8656, val loss 1.5284
iter 3000: loss 0.9809, time 8265.62ms, mfu 4.58%
iter 3010: loss 0.9971, time 72.56ms, mfu 4.64%
iter 3020: loss 1.0016, time 72.86ms, mfu 4.69%
iter 3030: loss 1.0010, time 72.62ms, mfu 4.73%
iter 3040: loss 1.0250, time 72.69ms, mfu 4.77%
iter 3050: loss 0.9853, time 72.62ms, mfu 4.81%
iter 3060: loss 0.9977, time 72.71ms, mfu 4.84%
iter 3070: loss 1.0137, time 72.68ms, mfu 4.87%
iter 3080: loss 0.9951, time 72.61ms, mfu 4.89%
iter 3090: loss 0.9789, time 72.63ms, mfu 4.92%
iter 3100: loss 0.9950, time 72.76ms, mfu 4.94%
iter 3110: loss 0.9790, time 72.58ms, mfu 4.96%
iter 3120: loss 0.9947, time 72.56ms, mfu 4.97%
iter 3130: loss 0.9763, time 72.63ms, mfu 4.99%
iter 3140: loss 0.9838, time 72.62ms, mfu 5.00%
iter 3150: loss 0.9989, time 72.61ms, mfu 5.02%
iter 3160: loss 1.0098, time 72.75ms, mfu 5.03%
iter 3170: loss 0.9566, time 72.61ms, mfu 5.04%
iter 3180: loss 0.9776, time 72.62ms, mfu 5.05%
iter 3190: loss 0.9953, time 72.60ms, mfu 5.06%
iter 3200: loss 0.9631, time 72.59ms, mfu 5.06%
iter 3210: loss 0.9632, time 72.61ms, mfu 5.07%
iter 3220: loss 0.9599, time 72.76ms, mfu 5.08%
iter 3230: loss 0.9489, time 72.58ms, mfu 5.08%
iter 3240: loss 0.9525, time 72.61ms, mfu 5.09%
step 3250: train loss 0.8230, val loss 1.5636
iter 3250: loss 0.9677, time 8255.25ms, mfu 4.58%
iter 3260: loss 0.9627, time 72.60ms, mfu 4.64%
iter 3270: loss 0.9806, time 72.62ms, mfu 4.69%
iter 3280: loss 0.9508, time 72.61ms, mfu 4.73%
iter 3290: loss 0.9379, time 72.62ms, mfu 4.77%
iter 3300: loss 0.9449, time 72.77ms, mfu 4.81%
iter 3310: loss 0.9559, time 72.62ms, mfu 4.84%
iter 3320: loss 0.9629, time 72.61ms, mfu 4.87%
iter 3330: loss 0.9536, time 72.61ms, mfu 4.89%
iter 3340: loss 0.9496, time 72.63ms, mfu 4.92%
iter 3350: loss 0.9639, time 72.62ms, mfu 4.94%
iter 3360: loss 0.9281, time 72.78ms, mfu 4.96%
iter 3370: loss 0.9568, time 72.58ms, mfu 4.97%
iter 3380: loss 0.9493, time 72.64ms, mfu 4.99%
iter 3390: loss 0.9438, time 72.63ms, mfu 5.00%
iter 3400: loss 0.9533, time 72.60ms, mfu 5.02%
iter 3410: loss 0.9371, time 72.70ms, mfu 5.03%
iter 3420: loss 0.9486, time 72.69ms, mfu 5.04%
iter 3430: loss 0.9548, time 72.57ms, mfu 5.05%
iter 3440: loss 0.9676, time 72.59ms, mfu 5.06%
iter 3450: loss 0.9501, time 72.62ms, mfu 5.06%
iter 3460: loss 0.9400, time 72.63ms, mfu 5.07%
iter 3470: loss 0.9430, time 72.77ms, mfu 5.08%
iter 3480: loss 0.9427, time 72.80ms, mfu 5.08%
iter 3490: loss 0.9205, time 72.59ms, mfu 5.09%
step 3500: train loss 0.7817, val loss 1.5723
iter 3500: loss 0.9059, time 8242.38ms, mfu 4.58%
iter 3510: loss 0.9199, time 72.60ms, mfu 4.64%
iter 3520: loss 0.9185, time 72.61ms, mfu 4.69%
iter 3530: loss 0.9532, time 72.58ms, mfu 4.73%
iter 3540: loss 0.9169, time 72.63ms, mfu 4.77%
iter 3550: loss 0.9335, time 72.59ms, mfu 4.81%
iter 3560: loss 0.9488, time 72.58ms, mfu 4.84%
iter 3570: loss 0.9369, time 72.62ms, mfu 4.87%
iter 3580: loss 0.9288, time 72.62ms, mfu 4.89%
iter 3590: loss 0.9255, time 72.71ms, mfu 4.92%
iter 3600: loss 0.9169, time 72.69ms, mfu 4.94%
iter 3610: loss 0.9128, time 72.60ms, mfu 4.96%
iter 3620: loss 0.9095, time 72.60ms, mfu 4.98%
iter 3630: loss 0.9197, time 72.66ms, mfu 4.99%
iter 3640: loss 0.9197, time 72.60ms, mfu 5.00%
iter 3650: loss 0.9044, time 72.65ms, mfu 5.02%
iter 3660: loss 0.9331, time 72.76ms, mfu 5.03%
iter 3670: loss 0.9284, time 72.61ms, mfu 5.04%
iter 3680: loss 0.9076, time 72.61ms, mfu 5.05%
iter 3690: loss 0.9347, time 72.60ms, mfu 5.06%
iter 3700: loss 0.8723, time 72.66ms, mfu 5.06%
iter 3710: loss 0.8770, time 72.59ms, mfu 5.07%
iter 3720: loss 0.9071, time 72.71ms, mfu 5.08%
iter 3730: loss 0.9000, time 72.68ms, mfu 5.08%
iter 3740: loss 0.8997, time 72.63ms, mfu 5.09%
step 3750: train loss 0.7432, val loss 1.6006
iter 3750: loss 0.9010, time 8240.36ms, mfu 4.58%
iter 3760: loss 0.9351, time 72.75ms, mfu 4.64%
iter 3770: loss 0.9271, time 72.61ms, mfu 4.69%
iter 3780: loss 0.9138, time 72.59ms, mfu 4.73%
iter 3790: loss 0.9011, time 72.62ms, mfu 4.77%
iter 3800: loss 0.9161, time 72.61ms, mfu 4.81%
iter 3810: loss 0.9171, time 72.59ms, mfu 4.84%
iter 3820: loss 0.8881, time 72.85ms, mfu 4.87%
iter 3830: loss 0.9020, time 72.60ms, mfu 4.89%
iter 3840: loss 0.8913, time 72.60ms, mfu 4.92%
iter 3850: loss 0.8826, time 72.48ms, mfu 4.94%
iter 3860: loss 0.8730, time 72.60ms, mfu 4.96%
iter 3870: loss 0.8809, time 72.58ms, mfu 4.98%
iter 3880: loss 0.8911, time 72.74ms, mfu 4.99%
iter 3890: loss 0.8862, time 72.59ms, mfu 5.01%
iter 3900: loss 0.8960, time 72.62ms, mfu 5.02%
iter 3910: loss 0.8883, time 72.64ms, mfu 5.03%
iter 3920: loss 0.8717, time 72.59ms, mfu 5.04%
iter 3930: loss 0.8978, time 72.59ms, mfu 5.05%
iter 3940: loss 0.8731, time 72.82ms, mfu 5.06%
iter 3950: loss 0.8817, time 72.58ms, mfu 5.06%
iter 3960: loss 0.9138, time 72.63ms, mfu 5.07%
iter 3970: loss 0.8963, time 72.58ms, mfu 5.08%
