Overriding config with ./config/train_nano_gpt2.py:
# init_from = 'resume'

out_dir = 'out-nano-gpt2-SwiGLU'
eval_interval = 1000
eval_iters = 500 # number of batches for evaluation
log_interval = 10

always_save_checkpoint = False

wandb_log = False

dataset = 'openwebtext'
# 16k tokens for each weight update
gradient_accumulation_steps = 1
batch_size = 16
block_size = 1024

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384

# learning_rate = 2e-4
# min_lr = 2e-5 # learning_rate / 10 usually
learning_rate = 1e-3
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

# max_iters = 1e5
max_iters = 1e5
lr_decay_iters = 1e5 # make equal to max_iters usually

warmup_iters = 100

tokens per iteration will be: 16,384
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
number of parameters: 29.94M
num decayed parameter tensors: 32, with 30,326,784 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 850: loss 5.8427, time 74.14ms, mfu 14.73%
iter 860: loss 5.7393, time 74.11ms, mfu 14.73%
iter 870: loss 5.7388, time 74.16ms, mfu 14.73%
iter 880: loss 5.6356, time 74.14ms, mfu 14.73%
iter 890: loss 5.6143, time 74.17ms, mfu 14.73%
iter 900: loss 5.6863, time 74.09ms, mfu 14.73%
iter 910: loss 5.8131, time 74.12ms, mfu 14.73%
iter 920: loss 5.4394, time 74.15ms, mfu 14.73%
iter 930: loss 5.5244, time 74.17ms, mfu 14.73%
iter 940: loss 5.5758, time 74.19ms, mfu 14.73%
iter 950: loss 5.4617, time 74.12ms, mfu 14.73%
iter 960: loss 5.7467, time 74.12ms, mfu 14.73%
iter 970: loss 5.4852, time 74.09ms, mfu 14.73%
iter 980: loss 5.3929, time 74.19ms, mfu 14.73%
iter 990: loss 5.3879, time 74.20ms, mfu 14.73%
step 1000: train loss 5.5168, val loss 5.5132
saving checkpoint to out-nano-gpt2-SwiGLU
iter 1000: loss 5.6204, time 17471.34ms, mfu 13.26%
iter 1010: loss 5.5348, time 74.23ms, mfu 13.41%
iter 1020: loss 5.4615, time 74.13ms, mfu 13.54%
iter 1030: loss 5.6045, time 74.24ms, mfu 13.66%
iter 1040: loss 5.5796, time 74.25ms, mfu 13.76%
iter 1050: loss 5.4324, time 74.24ms, mfu 13.86%
iter 1060: loss 5.6023, time 74.28ms, mfu 13.94%
iter 1070: loss 5.5751, time 74.27ms, mfu 14.02%
iter 1080: loss 5.5528, time 74.27ms, mfu 14.09%
iter 1090: loss 5.6192, time 74.21ms, mfu 14.15%
iter 1100: loss 5.6487, time 74.25ms, mfu 14.20%
iter 1110: loss 5.7228, time 74.30ms, mfu 14.25%
iter 1120: loss 5.4824, time 74.24ms, mfu 14.30%
iter 1130: loss 5.4009, time 74.28ms, mfu 14.34%
iter 1140: loss 5.3938, time 74.26ms, mfu 14.38%
iter 1150: loss 5.3208, time 74.25ms, mfu 14.41%
iter 1160: loss 5.3280, time 74.29ms, mfu 14.44%
iter 1170: loss 5.6892, time 74.25ms, mfu 14.46%
iter 1180: loss 5.3528, time 74.29ms, mfu 14.49%
iter 1190: loss 5.1841, time 74.23ms, mfu 14.51%
iter 1200: loss 5.4093, time 74.22ms, mfu 14.53%
iter 1210: loss 5.6423, time 74.24ms, mfu 14.55%
iter 1220: loss 5.4086, time 74.24ms, mfu 14.56%
iter 1230: loss 5.5166, time 74.25ms, mfu 14.58%
iter 1240: loss 5.1870, time 74.22ms, mfu 14.59%
iter 1250: loss 5.3517, time 74.21ms, mfu 14.60%
iter 1260: loss 5.5556, time 74.29ms, mfu 14.61%
iter 1270: loss 5.1634, time 74.24ms, mfu 14.62%
iter 1280: loss 5.2781, time 74.24ms, mfu 14.63%
iter 1290: loss 5.3392, time 74.25ms, mfu 14.64%
iter 1300: loss 5.4199, time 74.18ms, mfu 14.65%
iter 1310: loss 5.3317, time 74.23ms, mfu 14.65%
iter 1320: loss 5.1328, time 74.26ms, mfu 14.66%
iter 1330: loss 5.3461, time 74.30ms, mfu 14.66%
iter 1340: loss 5.0974, time 74.22ms, mfu 14.67%
iter 1350: loss 5.4848, time 74.19ms, mfu 14.67%
iter 1360: loss 5.3711, time 74.26ms, mfu 14.68%
iter 1370: loss 5.1428, time 74.26ms, mfu 14.68%
iter 1380: loss 5.1456, time 74.25ms, mfu 14.68%
iter 1390: loss 5.2442, time 74.27ms, mfu 14.68%
iter 1400: loss 5.2274, time 74.28ms, mfu 14.69%
iter 1410: loss 5.1929, time 74.28ms, mfu 14.69%
iter 1420: loss 5.2325, time 74.24ms, mfu 14.69%
iter 1430: loss 5.2203, time 74.21ms, mfu 14.69%
iter 1440: loss 5.3554, time 74.19ms, mfu 14.69%
iter 1450: loss 5.0695, time 74.23ms, mfu 14.70%
iter 1460: loss 5.3448, time 74.24ms, mfu 14.70%
iter 1470: loss 5.0177, time 74.26ms, mfu 14.70%
iter 1480: loss 5.3362, time 74.25ms, mfu 14.70%
iter 1490: loss 5.1074, time 74.28ms, mfu 14.70%
iter 1500: loss 5.2834, time 74.25ms, mfu 14.70%
iter 1510: loss 5.1468, time 74.22ms, mfu 14.70%
iter 1520: loss 5.3272, time 74.23ms, mfu 14.70%
iter 1530: loss 5.1216, time 74.23ms, mfu 14.70%
iter 1540: loss 5.1855, time 74.30ms, mfu 14.70%
iter 1550: loss 5.1810, time 74.23ms, mfu 14.70%
iter 1560: loss 5.1634, time 74.21ms, mfu 14.70%
iter 1570: loss 5.1005, time 74.22ms, mfu 14.71%
iter 1580: loss 5.1052, time 74.19ms, mfu 14.71%
iter 1590: loss 5.2018, time 74.31ms, mfu 14.71%
iter 1600: loss 5.1607, time 74.24ms, mfu 14.71%
iter 1610: loss 5.3558, time 74.24ms, mfu 14.71%
iter 1620: loss 5.4252, time 74.25ms, mfu 14.71%
iter 1630: loss 5.1664, time 74.27ms, mfu 14.71%
iter 1640: loss 5.2203, time 74.29ms, mfu 14.71%
iter 1650: loss 5.1125, time 74.24ms, mfu 14.71%
iter 1660: loss 5.1293, time 74.24ms, mfu 14.71%
iter 1670: loss 5.0076, time 74.28ms, mfu 14.71%
iter 1680: loss 5.1161, time 74.24ms, mfu 14.71%
iter 1690: loss 5.2141, time 74.22ms, mfu 14.71%
iter 1700: loss 5.2061, time 74.25ms, mfu 14.71%
iter 1710: loss 5.3399, time 74.24ms, mfu 14.71%
iter 1720: loss 4.9355, time 74.33ms, mfu 14.70%
iter 1730: loss 5.1679, time 74.27ms, mfu 14.70%
iter 1740: loss 5.2229, time 74.21ms, mfu 14.71%
iter 1750: loss 5.0819, time 74.26ms, mfu 14.71%
iter 1760: loss 5.1066, time 74.22ms, mfu 14.71%
iter 1770: loss 5.0616, time 74.22ms, mfu 14.71%
iter 1780: loss 5.0792, time 74.25ms, mfu 14.71%
iter 1790: loss 4.8638, time 74.25ms, mfu 14.71%
iter 1800: loss 5.1350, time 74.26ms, mfu 14.71%
iter 1810: loss 5.1643, time 74.25ms, mfu 14.71%
iter 1820: loss 5.1615, time 74.29ms, mfu 14.71%
iter 1830: loss 5.1249, time 74.22ms, mfu 14.71%
iter 1840: loss 5.2453, time 74.25ms, mfu 14.71%
iter 1850: loss 5.3206, time 74.25ms, mfu 14.71%
iter 1860: loss 5.1427, time 74.23ms, mfu 14.71%
iter 1870: loss 5.4832, time 74.26ms, mfu 14.71%
iter 1880: loss 5.1056, time 74.27ms, mfu 14.71%
iter 1890: loss 4.8692, time 74.28ms, mfu 14.71%
iter 1900: loss 5.0256, time 74.23ms, mfu 14.71%
iter 1910: loss 4.9408, time 74.24ms, mfu 14.71%
iter 1920: loss 5.1621, time 74.25ms, mfu 14.71%
iter 1930: loss 5.0639, time 74.18ms, mfu 14.71%
iter 1940: loss 4.9919, time 74.22ms, mfu 14.71%
iter 1950: loss 5.0325, time 74.24ms, mfu 14.71%
iter 1960: loss 5.2792, time 74.25ms, mfu 14.71%
iter 1970: loss 4.8892, time 74.26ms, mfu 14.71%
iter 1980: loss 4.8794, time 74.28ms, mfu 14.71%
iter 1990: loss 4.9099, time 74.24ms, mfu 14.71%
step 2000: train loss 5.0067, val loss 5.0026
saving checkpoint to out-nano-gpt2-SwiGLU
iter 2000: loss 5.0806, time 17550.63ms, mfu 13.24%
iter 2010: loss 4.8835, time 74.40ms, mfu 13.39%
iter 2020: loss 4.9863, time 74.37ms, mfu 13.52%
iter 2030: loss 4.9783, time 74.32ms, mfu 13.63%
iter 2040: loss 4.9688, time 74.39ms, mfu 13.74%
iter 2050: loss 5.0954, time 74.37ms, mfu 13.83%
iter 2060: loss 4.8784, time 74.36ms, mfu 13.92%
iter 2070: loss 5.0426, time 74.32ms, mfu 14.00%
iter 2080: loss 4.9301, time 74.37ms, mfu 14.06%
iter 2090: loss 5.2102, time 74.34ms, mfu 14.13%
iter 2100: loss 4.9983, time 74.37ms, mfu 14.18%
iter 2110: loss 5.0497, time 74.39ms, mfu 14.23%
iter 2120: loss 5.0718, time 74.35ms, mfu 14.28%
iter 2130: loss 4.9405, time 74.35ms, mfu 14.32%
iter 2140: loss 5.0689, time 74.34ms, mfu 14.36%
iter 2150: loss 4.9907, time 74.38ms, mfu 14.39%
iter 2160: loss 5.0801, time 74.37ms, mfu 14.42%
iter 2170: loss 4.8960, time 74.34ms, mfu 14.44%
iter 2180: loss 5.1487, time 74.34ms, mfu 14.47%
iter 2190: loss 5.0084, time 74.35ms, mfu 14.49%
iter 2200: loss 4.7944, time 74.33ms, mfu 14.51%
iter 2210: loss 4.8763, time 74.36ms, mfu 14.53%
iter 2220: loss 5.0166, time 74.35ms, mfu 14.54%
iter 2230: loss 4.9784, time 74.37ms, mfu 14.56%
iter 2240: loss 4.9038, time 74.32ms, mfu 14.57%
iter 2250: loss 4.9750, time 74.36ms, mfu 14.58%
iter 2260: loss 4.8255, time 74.37ms, mfu 14.59%
iter 2270: loss 4.9299, time 74.34ms, mfu 14.60%
iter 2280: loss 5.0030, time 74.41ms, mfu 14.61%
iter 2290: loss 4.9116, time 74.38ms, mfu 14.62%
iter 2300: loss 4.9068, time 74.36ms, mfu 14.62%
iter 2310: loss 5.0004, time 74.33ms, mfu 14.63%
iter 2320: loss 4.9101, time 74.35ms, mfu 14.64%
iter 2330: loss 4.8985, time 74.34ms, mfu 14.64%
iter 2340: loss 4.9759, time 74.33ms, mfu 14.65%
iter 2350: loss 4.9409, time 74.32ms, mfu 14.65%
iter 2360: loss 4.8554, time 74.32ms, mfu 14.65%
iter 2370: loss 4.8374, time 74.33ms, mfu 14.66%
iter 2380: loss 4.8350, time 74.33ms, mfu 14.66%
iter 2390: loss 4.8378, time 74.37ms, mfu 14.66%
iter 2400: loss 4.7528, time 74.35ms, mfu 14.67%
iter 2410: loss 5.0614, time 74.35ms, mfu 14.67%
iter 2420: loss 4.7226, time 74.36ms, mfu 14.67%
iter 2430: loss 4.9914, time 74.39ms, mfu 14.67%
iter 2440: loss 4.8060, time 74.34ms, mfu 14.67%
iter 2450: loss 4.8863, time 74.29ms, mfu 14.68%
iter 2460: loss 4.8737, time 74.34ms, mfu 14.68%
iter 2470: loss 4.8494, time 74.37ms, mfu 14.68%
iter 2480: loss 4.7970, time 74.35ms, mfu 14.68%
iter 2490: loss 4.9166, time 74.36ms, mfu 14.68%
iter 2500: loss 4.6939, time 74.32ms, mfu 14.68%
iter 2510: loss 4.9143, time 74.37ms, mfu 14.68%
iter 2520: loss 4.7977, time 74.33ms, mfu 14.68%
iter 2530: loss 4.8029, time 74.32ms, mfu 14.68%
iter 2540: loss 4.5231, time 74.29ms, mfu 14.68%
iter 2550: loss 4.8889, time 74.36ms, mfu 14.68%
iter 2560: loss 4.8386, time 74.31ms, mfu 14.69%
iter 2570: loss 4.3693, time 74.31ms, mfu 14.69%
iter 2580: loss 4.8339, time 74.34ms, mfu 14.69%
iter 2590: loss 4.7877, time 74.38ms, mfu 14.69%
iter 2600: loss 4.9538, time 74.36ms, mfu 14.69%
iter 2610: loss 4.9096, time 74.34ms, mfu 14.69%
iter 2620: loss 4.8453, time 74.35ms, mfu 14.69%
iter 2630: loss 4.8491, time 74.34ms, mfu 14.69%
iter 2640: loss 4.9310, time 74.32ms, mfu 14.69%
iter 2650: loss 4.7765, time 74.35ms, mfu 14.69%
iter 2660: loss 4.7857, time 74.36ms, mfu 14.69%
iter 2670: loss 4.7366, time 74.35ms, mfu 14.69%
iter 2680: loss 4.7071, time 74.34ms, mfu 14.69%
iter 2690: loss 4.7531, time 74.35ms, mfu 14.69%
iter 2700: loss 4.7556, time 74.39ms, mfu 14.69%
iter 2710: loss 4.7871, time 74.33ms, mfu 14.69%
iter 2720: loss 4.8807, time 74.33ms, mfu 14.69%
iter 2730: loss 4.6824, time 74.35ms, mfu 14.69%
iter 2740: loss 4.8878, time 74.37ms, mfu 14.69%
iter 2750: loss 4.8572, time 74.37ms, mfu 14.69%
iter 2760: loss 4.8488, time 74.37ms, mfu 14.69%
iter 2770: loss 4.7574, time 74.28ms, mfu 14.69%
iter 2780: loss 4.8006, time 74.34ms, mfu 14.69%
iter 2790: loss 4.8580, time 74.31ms, mfu 14.69%
iter 2800: loss 4.7984, time 74.36ms, mfu 14.69%
iter 2810: loss 4.7620, time 74.35ms, mfu 14.69%
iter 2820: loss 4.9578, time 74.32ms, mfu 14.69%
iter 2830: loss 4.6803, time 74.36ms, mfu 14.69%
iter 2840: loss 4.8765, time 74.35ms, mfu 14.69%
iter 2850: loss 4.8372, time 74.39ms, mfu 14.69%
iter 2860: loss 4.4851, time 74.47ms, mfu 14.68%
iter 2870: loss 4.6487, time 74.31ms, mfu 14.69%
iter 2880: loss 4.8003, time 74.34ms, mfu 14.69%
iter 2890: loss 4.6420, time 74.38ms, mfu 14.69%
iter 2900: loss 4.6626, time 74.39ms, mfu 14.69%
iter 2910: loss 4.6913, time 74.35ms, mfu 14.69%
iter 2920: loss 4.9093, time 74.34ms, mfu 14.69%
iter 2930: loss 4.7402, time 74.32ms, mfu 14.69%
iter 2940: loss 4.6205, time 74.33ms, mfu 14.69%
iter 2950: loss 4.7231, time 74.38ms, mfu 14.69%
iter 2960: loss 4.8697, time 74.34ms, mfu 14.69%
iter 2970: loss 4.7882, time 74.39ms, mfu 14.69%
iter 2980: loss 4.7896, time 74.35ms, mfu 14.69%
iter 2990: loss 4.6254, time 74.32ms, mfu 14.69%
step 3000: train loss 4.7166, val loss 4.7134
saving checkpoint to out-nano-gpt2-SwiGLU
iter 3000: loss 4.5333, time 17560.21ms, mfu 13.22%
iter 3010: loss 4.7321, time 74.30ms, mfu 13.37%
iter 3020: loss 4.7931, time 74.36ms, mfu 13.50%
iter 3030: loss 4.8808, time 74.30ms, mfu 13.62%
iter 3040: loss 4.8095, time 74.41ms, mfu 13.73%
iter 3050: loss 4.6052, time 74.33ms, mfu 13.82%
iter 3060: loss 4.6149, time 74.33ms, mfu 13.91%
iter 3070: loss 4.6966, time 74.33ms, mfu 13.99%
iter 3080: loss 4.5212, time 74.32ms, mfu 14.06%
iter 3090: loss 4.7230, time 74.32ms, mfu 14.12%
iter 3100: loss 4.5158, time 74.35ms, mfu 14.18%
iter 3110: loss 4.7433, time 74.30ms, mfu 14.23%
iter 3120: loss 4.6924, time 74.31ms, mfu 14.28%
iter 3130: loss 4.7962, time 74.30ms, mfu 14.32%
iter 3140: loss 4.7020, time 74.35ms, mfu 14.36%
iter 3150: loss 4.7213, time 74.26ms, mfu 14.39%
iter 3160: loss 4.7429, time 74.33ms, mfu 14.42%
iter 3170: loss 4.5405, time 74.36ms, mfu 14.45%
iter 3180: loss 4.6884, time 74.39ms, mfu 14.47%
iter 3190: loss 4.7151, time 74.36ms, mfu 14.49%
iter 3200: loss 4.5329, time 74.33ms, mfu 14.51%
iter 3210: loss 4.4426, time 74.32ms, mfu 14.53%
iter 3220: loss 4.5917, time 74.33ms, mfu 14.55%
iter 3230: loss 4.5682, time 74.30ms, mfu 14.56%
iter 3240: loss 4.4923, time 74.32ms, mfu 14.57%
iter 3250: loss 4.8091, time 74.36ms, mfu 14.59%
iter 3260: loss 4.5360, time 74.37ms, mfu 14.59%
iter 3270: loss 4.6140, time 74.27ms, mfu 14.61%
iter 3280: loss 4.6848, time 74.29ms, mfu 14.61%
iter 3290: loss 4.5795, time 74.30ms, mfu 14.62%
iter 3300: loss 4.5783, time 74.35ms, mfu 14.63%
iter 3310: loss 4.7271, time 74.30ms, mfu 14.64%
iter 3320: loss 4.6319, time 74.34ms, mfu 14.64%
iter 3330: loss 4.5544, time 74.29ms, mfu 14.65%
iter 3340: loss 4.6665, time 74.32ms, mfu 14.65%
iter 3350: loss 4.6491, time 74.31ms, mfu 14.66%
iter 3360: loss 4.5217, time 74.35ms, mfu 14.66%
iter 3370: loss 4.5494, time 74.33ms, mfu 14.66%
iter 3380: loss 4.6285, time 74.35ms, mfu 14.66%
iter 3390: loss 4.6438, time 74.31ms, mfu 14.67%
iter 3400: loss 4.4759, time 74.34ms, mfu 14.67%
iter 3410: loss 4.5568, time 74.35ms, mfu 14.67%
iter 3420: loss 4.6346, time 74.32ms, mfu 14.67%
iter 3430: loss 4.5935, time 74.33ms, mfu 14.68%
iter 3440: loss 4.6518, time 74.32ms, mfu 14.68%
iter 3450: loss 4.5886, time 74.30ms, mfu 14.68%
iter 3460: loss 4.5547, time 74.32ms, mfu 14.68%
iter 3470: loss 4.4873, time 74.29ms, mfu 14.68%
iter 3480: loss 4.6586, time 74.30ms, mfu 14.68%
iter 3490: loss 4.8091, time 74.33ms, mfu 14.68%
iter 3500: loss 4.6136, time 74.30ms, mfu 14.69%
iter 3510: loss 4.5618, time 74.30ms, mfu 14.69%
iter 3520: loss 4.6329, time 74.29ms, mfu 14.69%
iter 3530: loss 4.6617, time 74.33ms, mfu 14.69%
iter 3540: loss 4.5315, time 74.28ms, mfu 14.69%
iter 3550: loss 4.4557, time 74.35ms, mfu 14.69%
iter 3560: loss 4.5625, time 74.35ms, mfu 14.69%
iter 3570: loss 4.5122, time 74.32ms, mfu 14.69%
iter 3580: loss 4.6941, time 74.37ms, mfu 14.69%
iter 3590: loss 4.5992, time 74.30ms, mfu 14.69%
iter 3600: loss 4.5393, time 74.31ms, mfu 14.69%
iter 3610: loss 4.5915, time 74.31ms, mfu 14.69%
iter 3620: loss 4.5179, time 74.34ms, mfu 14.69%
iter 3630: loss 4.5318, time 74.32ms, mfu 14.69%
iter 3640: loss 4.6107, time 74.33ms, mfu 14.69%
iter 3650: loss 4.4627, time 74.33ms, mfu 14.69%
iter 3660: loss 4.6065, time 74.27ms, mfu 14.69%
iter 3670: loss 4.5377, time 74.44ms, mfu 14.69%
iter 3680: loss 4.6853, time 74.27ms, mfu 14.69%
iter 3690: loss 4.6753, time 74.34ms, mfu 14.69%
iter 3700: loss 4.4884, time 74.22ms, mfu 14.69%
iter 3710: loss 4.6891, time 74.31ms, mfu 14.69%
iter 3720: loss 4.5958, time 74.34ms, mfu 14.69%
iter 3730: loss 4.7097, time 74.08ms, mfu 14.70%
iter 3740: loss 4.5194, time 74.37ms, mfu 14.70%
iter 3750: loss 4.5173, time 74.33ms, mfu 14.70%
iter 3760: loss 4.5178, time 74.30ms, mfu 14.70%
iter 3770: loss 4.5337, time 74.34ms, mfu 14.69%
iter 3780: loss 4.6825, time 74.34ms, mfu 14.69%
iter 3790: loss 4.5284, time 74.25ms, mfu 14.70%
iter 3800: loss 4.2864, time 74.33ms, mfu 14.70%
iter 3810: loss 4.5036, time 74.31ms, mfu 14.70%
iter 3820: loss 4.5616, time 74.31ms, mfu 14.69%
iter 3830: loss 4.4961, time 74.30ms, mfu 14.70%
iter 3840: loss 4.5817, time 74.32ms, mfu 14.69%
iter 3850: loss 4.6525, time 74.34ms, mfu 14.69%
iter 3860: loss 4.5638, time 74.30ms, mfu 14.69%
iter 3870: loss 4.5992, time 74.32ms, mfu 14.69%
iter 3880: loss 4.6757, time 74.29ms, mfu 14.69%
iter 3890: loss 4.6165, time 74.30ms, mfu 14.69%
iter 3900: loss 4.6299, time 74.35ms, mfu 14.69%
iter 3910: loss 4.4979, time 74.31ms, mfu 14.69%
iter 3920: loss 4.6355, time 74.27ms, mfu 14.69%
iter 3930: loss 4.4609, time 74.30ms, mfu 14.70%
iter 3940: loss 4.4994, time 74.29ms, mfu 14.70%
iter 3950: loss 4.7005, time 74.35ms, mfu 14.69%
iter 3960: loss 4.4189, time 74.30ms, mfu 14.69%
iter 3970: loss 4.5032, time 74.31ms, mfu 14.69%
iter 3980: loss 4.5837, time 74.28ms, mfu 14.70%
iter 3990: loss 4.6063, time 74.36ms, mfu 14.69%
step 4000: train loss 4.5316, val loss 4.5353
saving checkpoint to out-nano-gpt2-SwiGLU
iter 4000: loss 4.5721, time 17548.79ms, mfu 13.23%
iter 4010: loss 4.5773, time 74.37ms, mfu 13.38%
