Overriding config with ./config/train_nano_gpt2.py:
# init_from = 'resume'

out_dir = 'out-nano-gpt2-BiLinReGLU'
eval_interval = 1000
eval_iters = 500 # number of batches for evaluation
log_interval = 10

always_save_checkpoint = False

wandb_log = False

dataset = 'openwebtext'
# 16k tokens for each weight update
gradient_accumulation_steps = 1
batch_size = 16
block_size = 1024

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384

# learning_rate = 2e-4
# min_lr = 2e-5 # learning_rate / 10 usually
learning_rate = 1e-3
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

# max_iters = 1e5
max_iters = 2e5
lr_decay_iters = 1e5 # make equal to max_iters usually

warmup_iters = 100

tokens per iteration will be: 16,384
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
number of parameters: 29.94M
num decayed parameter tensors: 38, with 30,326,784 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 830: loss 5.7041, time 74.90ms, mfu 14.60%
iter 840: loss 5.7728, time 74.82ms, mfu 14.60%
iter 850: loss 5.9008, time 74.75ms, mfu 14.60%
iter 860: loss 5.8382, time 74.86ms, mfu 14.60%
iter 870: loss 5.8100, time 74.84ms, mfu 14.60%
iter 880: loss 5.7170, time 74.91ms, mfu 14.60%
iter 890: loss 5.6835, time 74.71ms, mfu 14.60%
iter 900: loss 5.7877, time 74.88ms, mfu 14.60%
iter 910: loss 5.9000, time 74.80ms, mfu 14.60%
iter 920: loss 5.5447, time 74.72ms, mfu 14.60%
iter 930: loss 5.6270, time 74.88ms, mfu 14.60%
iter 940: loss 5.6882, time 74.69ms, mfu 14.60%
iter 950: loss 5.5762, time 74.71ms, mfu 14.60%
iter 960: loss 5.8347, time 74.77ms, mfu 14.60%
iter 970: loss 5.6164, time 73.52ms, mfu 14.63%
iter 980: loss 5.4150, time 74.95ms, mfu 14.62%
iter 990: loss 5.5278, time 75.03ms, mfu 14.61%
0.36178771654764813
0.6319672266642252
0.8172372976938883
0.8399875164031982
0.8631906509399414
0.9125726222991943
step 1000: train loss 5.6464, val loss 5.6431
saving checkpoint to out-nano-gpt2-BiLinReGLU
iter 1000: loss 5.7501, time 17638.31ms, mfu 13.16%
iter 1010: loss 5.6752, time 74.59ms, mfu 13.31%
iter 1020: loss 5.6037, time 75.07ms, mfu 13.43%
iter 1030: loss 5.7530, time 74.62ms, mfu 13.55%
iter 1040: loss 5.7097, time 74.92ms, mfu 13.65%
iter 1050: loss 5.5807, time 74.46ms, mfu 13.75%
iter 1060: loss 5.7199, time 75.03ms, mfu 13.83%
iter 1070: loss 5.7091, time 74.72ms, mfu 13.91%
iter 1080: loss 5.6761, time 75.23ms, mfu 13.97%
iter 1090: loss 5.7109, time 74.79ms, mfu 14.04%
iter 1100: loss 5.7683, time 74.80ms, mfu 14.09%
iter 1110: loss 5.8390, time 74.78ms, mfu 14.14%
iter 1120: loss 5.6350, time 74.71ms, mfu 14.19%
iter 1130: loss 5.5610, time 74.75ms, mfu 14.23%
iter 1140: loss 5.5319, time 74.66ms, mfu 14.27%
iter 1150: loss 5.4882, time 75.00ms, mfu 14.30%
iter 1160: loss 5.4885, time 74.99ms, mfu 14.33%
iter 1170: loss 5.8158, time 74.69ms, mfu 14.36%
iter 1180: loss 5.5314, time 74.47ms, mfu 14.39%
iter 1190: loss 5.3553, time 75.09ms, mfu 14.40%
iter 1200: loss 5.5772, time 74.83ms, mfu 14.42%
iter 1210: loss 5.8831, time 74.78ms, mfu 14.44%
iter 1220: loss 5.5798, time 74.80ms, mfu 14.46%
iter 1230: loss 5.6807, time 74.67ms, mfu 14.47%
iter 1240: loss 5.3302, time 74.75ms, mfu 14.49%
iter 1250: loss 5.5458, time 75.25ms, mfu 14.49%
iter 1260: loss 5.7122, time 74.29ms, mfu 14.51%
iter 1270: loss 5.3467, time 74.62ms, mfu 14.52%
iter 1280: loss 5.4498, time 74.87ms, mfu 14.53%
iter 1290: loss 5.4980, time 75.33ms, mfu 14.52%
iter 1300: loss 5.6029, time 74.09ms, mfu 14.55%
iter 1310: loss 5.4992, time 75.08ms, mfu 14.55%
iter 1320: loss 5.3000, time 74.59ms, mfu 14.56%
iter 1330: loss 5.4891, time 75.34ms, mfu 14.55%
iter 1340: loss 5.2581, time 74.91ms, mfu 14.55%
iter 1350: loss 5.6467, time 74.71ms, mfu 14.56%
iter 1360: loss 5.5251, time 74.93ms, mfu 14.56%
iter 1370: loss 5.3076, time 74.73ms, mfu 14.56%
iter 1380: loss 5.3120, time 75.05ms, mfu 14.56%
iter 1390: loss 5.4047, time 74.70ms, mfu 14.57%
iter 1400: loss 5.4167, time 74.82ms, mfu 14.57%
iter 1410: loss 5.3533, time 74.55ms, mfu 14.58%
iter 1420: loss 5.3832, time 74.86ms, mfu 14.58%
iter 1430: loss 5.3755, time 74.79ms, mfu 14.58%
iter 1440: loss 5.4773, time 74.81ms, mfu 14.58%
iter 1450: loss 5.2129, time 74.60ms, mfu 14.59%
iter 1460: loss 5.4655, time 74.93ms, mfu 14.59%
iter 1470: loss 5.1689, time 74.82ms, mfu 14.59%
iter 1480: loss 5.5049, time 74.80ms, mfu 14.59%
iter 1490: loss 5.2661, time 74.84ms, mfu 14.59%
iter 1500: loss 5.4211, time 75.08ms, mfu 14.58%
iter 1510: loss 5.2863, time 74.96ms, mfu 14.58%
iter 1520: loss 5.4415, time 74.97ms, mfu 14.58%
iter 1530: loss 5.2745, time 74.85ms, mfu 14.58%
iter 1540: loss 5.3421, time 74.83ms, mfu 14.58%
iter 1550: loss 5.3191, time 74.78ms, mfu 14.59%
iter 1560: loss 5.3026, time 74.63ms, mfu 14.59%
iter 1570: loss 5.2485, time 74.80ms, mfu 14.59%
iter 1580: loss 5.2448, time 74.69ms, mfu 14.59%
iter 1590: loss 5.3222, time 75.03ms, mfu 14.59%
iter 1600: loss 5.3024, time 74.81ms, mfu 14.59%
iter 1610: loss 5.4944, time 74.65ms, mfu 14.59%
iter 1620: loss 5.5390, time 74.69ms, mfu 14.60%
iter 1630: loss 5.2856, time 74.72ms, mfu 14.60%
iter 1640: loss 5.3492, time 74.78ms, mfu 14.60%
iter 1650: loss 5.2542, time 74.60ms, mfu 14.60%
iter 1660: loss 5.2660, time 74.76ms, mfu 14.60%
iter 1670: loss 5.1416, time 74.81ms, mfu 14.60%
iter 1680: loss 5.2527, time 74.70ms, mfu 14.60%
iter 1690: loss 5.3449, time 74.49ms, mfu 14.61%
iter 1700: loss 5.3334, time 74.97ms, mfu 14.61%
iter 1710: loss 5.4718, time 74.95ms, mfu 14.60%
iter 1720: loss 5.0515, time 74.61ms, mfu 14.60%
iter 1730: loss 5.2743, time 74.77ms, mfu 14.60%
iter 1740: loss 5.3572, time 74.72ms, mfu 14.61%
iter 1750: loss 5.2130, time 74.82ms, mfu 14.60%
iter 1760: loss 5.2347, time 74.56ms, mfu 14.61%
iter 1770: loss 5.1774, time 74.63ms, mfu 14.61%
iter 1780: loss 5.2113, time 75.01ms, mfu 14.61%
iter 1790: loss 4.9897, time 74.78ms, mfu 14.61%
iter 1800: loss 5.2577, time 75.07ms, mfu 14.60%
iter 1810: loss 5.4411, time 74.87ms, mfu 14.60%
iter 1820: loss 5.2916, time 75.16ms, mfu 14.59%
iter 1830: loss 5.2611, time 74.88ms, mfu 14.59%
iter 1840: loss 5.3928, time 74.76ms, mfu 14.59%
iter 1850: loss 5.4448, time 74.68ms, mfu 14.60%
iter 1860: loss 5.2571, time 74.95ms, mfu 14.59%
iter 1870: loss 5.6087, time 74.74ms, mfu 14.59%
iter 1880: loss 5.1972, time 74.95ms, mfu 14.59%
iter 1890: loss 4.9829, time 74.81ms, mfu 14.59%
iter 1900: loss 5.1676, time 74.83ms, mfu 14.59%
iter 1910: loss 5.0680, time 74.85ms, mfu 14.59%
iter 1920: loss 5.2698, time 74.70ms, mfu 14.59%
iter 1930: loss 5.1799, time 75.39ms, mfu 14.58%
iter 1940: loss 5.1199, time 74.78ms, mfu 14.59%
iter 1950: loss 5.1741, time 75.12ms, mfu 14.58%
iter 1960: loss 5.3735, time 74.82ms, mfu 14.58%
iter 1970: loss 5.0002, time 74.99ms, mfu 14.58%
iter 1980: loss 5.0006, time 74.85ms, mfu 14.58%
iter 1990: loss 5.0451, time 74.69ms, mfu 14.58%
0.3554824988047282
0.7244657675425211
0.965635617574056
0.9028573830922445
0.8203744888305664
0.8703803221384684
step 2000: train loss 5.1165, val loss 5.1131
saving checkpoint to out-nano-gpt2-BiLinReGLU
iter 2000: loss 5.1870, time 17833.72ms, mfu 13.13%
iter 2010: loss 4.9952, time 75.12ms, mfu 13.27%
iter 2020: loss 5.1073, time 75.04ms, mfu 13.40%
iter 2030: loss 5.0806, time 74.78ms, mfu 13.52%
iter 2040: loss 5.0754, time 74.63ms, mfu 13.63%
iter 2050: loss 5.2301, time 75.22ms, mfu 13.72%
iter 2060: loss 5.0321, time 74.94ms, mfu 13.81%
iter 2070: loss 5.1766, time 74.76ms, mfu 13.89%
iter 2080: loss 5.0819, time 74.85ms, mfu 13.96%
iter 2090: loss 5.3671, time 74.64ms, mfu 14.02%
iter 2100: loss 5.1207, time 74.95ms, mfu 14.08%
iter 2110: loss 5.1707, time 74.75ms, mfu 14.13%
iter 2120: loss 5.1859, time 74.85ms, mfu 14.18%
iter 2130: loss 5.1020, time 74.97ms, mfu 14.22%
iter 2140: loss 5.1598, time 74.78ms, mfu 14.25%
iter 2150: loss 5.1423, time 74.67ms, mfu 14.29%
iter 2160: loss 5.2120, time 74.86ms, mfu 14.32%
iter 2170: loss 5.0389, time 75.04ms, mfu 14.34%
iter 2180: loss 5.2655, time 74.96ms, mfu 14.37%
iter 2190: loss 5.1373, time 74.76ms, mfu 14.39%
iter 2200: loss 4.9383, time 74.88ms, mfu 14.41%
iter 2210: loss 4.9876, time 74.59ms, mfu 14.43%
iter 2220: loss 5.1552, time 74.71ms, mfu 14.45%
iter 2230: loss 5.0955, time 74.73ms, mfu 14.47%
iter 2240: loss 5.0074, time 74.92ms, mfu 14.48%
iter 2250: loss 5.1072, time 75.20ms, mfu 14.48%
iter 2260: loss 4.9473, time 74.74ms, mfu 14.49%
iter 2270: loss 5.0355, time 74.36ms, mfu 14.51%
iter 2280: loss 5.1279, time 74.76ms, mfu 14.52%
iter 2290: loss 5.0298, time 74.54ms, mfu 14.54%
iter 2300: loss 5.0694, time 74.72ms, mfu 14.54%
iter 2310: loss 5.1029, time 74.79ms, mfu 14.55%
iter 2320: loss 5.0253, time 74.71ms, mfu 14.56%
iter 2330: loss 5.0321, time 74.84ms, mfu 14.56%
iter 2340: loss 5.1038, time 74.92ms, mfu 14.56%
iter 2350: loss 5.0395, time 74.84ms, mfu 14.56%
iter 2360: loss 4.9799, time 74.97ms, mfu 14.56%
iter 2370: loss 4.9644, time 74.82ms, mfu 14.57%
iter 2380: loss 4.9278, time 74.72ms, mfu 14.57%
iter 2390: loss 5.0326, time 74.90ms, mfu 14.57%
iter 2400: loss 4.8943, time 74.56ms, mfu 14.58%
iter 2410: loss 5.1576, time 74.77ms, mfu 14.58%
iter 2420: loss 4.8482, time 74.76ms, mfu 14.58%
iter 2430: loss 5.1420, time 75.87ms, mfu 14.57%
iter 2440: loss 4.9627, time 74.95ms, mfu 14.57%
iter 2450: loss 5.0596, time 74.83ms, mfu 14.57%
iter 2460: loss 4.9902, time 74.82ms, mfu 14.57%
iter 2470: loss 4.9736, time 74.79ms, mfu 14.57%
iter 2480: loss 4.9987, time 74.83ms, mfu 14.58%
iter 2490: loss 5.0612, time 74.83ms, mfu 14.58%
iter 2500: loss 4.8289, time 74.74ms, mfu 14.58%
iter 2510: loss 5.1005, time 74.97ms, mfu 14.58%
iter 2520: loss 4.9104, time 74.79ms, mfu 14.58%
iter 2530: loss 4.9678, time 75.38ms, mfu 14.57%
iter 2540: loss 4.6763, time 75.19ms, mfu 14.57%
iter 2550: loss 5.0088, time 74.44ms, mfu 14.58%
iter 2560: loss 4.9901, time 74.63ms, mfu 14.58%
iter 2570: loss 4.5862, time 74.71ms, mfu 14.59%
iter 2580: loss 4.9724, time 74.50ms, mfu 14.59%
iter 2590: loss 4.9058, time 75.03ms, mfu 14.59%
iter 2600: loss 5.0788, time 74.90ms, mfu 14.59%
iter 2610: loss 5.0620, time 74.90ms, mfu 14.59%
iter 2620: loss 4.9635, time 74.69ms, mfu 14.59%
iter 2630: loss 5.0411, time 74.89ms, mfu 14.59%
iter 2640: loss 5.0703, time 74.84ms, mfu 14.59%
iter 2650: loss 4.8951, time 74.78ms, mfu 14.59%
iter 2660: loss 4.9401, time 74.69ms, mfu 14.59%
iter 2670: loss 4.8897, time 74.99ms, mfu 14.59%
iter 2680: loss 4.7969, time 74.82ms, mfu 14.59%
iter 2690: loss 4.9359, time 74.88ms, mfu 14.59%
iter 2700: loss 4.8855, time 74.71ms, mfu 14.59%
iter 2710: loss 4.9391, time 75.12ms, mfu 14.59%
iter 2720: loss 5.0327, time 74.46ms, mfu 14.59%
iter 2730: loss 4.8092, time 74.94ms, mfu 14.59%
iter 2740: loss 5.0460, time 74.20ms, mfu 14.60%
iter 2750: loss 5.2497, time 74.94ms, mfu 14.60%
iter 2760: loss 5.0140, time 75.29ms, mfu 14.59%
iter 2770: loss 4.9248, time 74.71ms, mfu 14.59%
iter 2780: loss 4.9609, time 74.86ms, mfu 14.59%
iter 2790: loss 5.1172, time 75.20ms, mfu 14.59%
iter 2800: loss 4.9523, time 74.77ms, mfu 14.59%
iter 2810: loss 4.9112, time 74.80ms, mfu 14.59%
iter 2820: loss 5.0626, time 74.92ms, mfu 14.59%
iter 2830: loss 4.8534, time 74.87ms, mfu 14.59%
iter 2840: loss 5.0237, time 74.80ms, mfu 14.59%
iter 2850: loss 4.9860, time 74.88ms, mfu 14.59%
iter 2860: loss 4.7550, time 74.63ms, mfu 14.59%
iter 2870: loss 4.8020, time 74.78ms, mfu 14.59%
iter 2880: loss 5.0232, time 74.77ms, mfu 14.59%
iter 2890: loss 4.7918, time 74.65ms, mfu 14.60%
iter 2900: loss 4.7835, time 74.73ms, mfu 14.60%
iter 2910: loss 4.7910, time 75.17ms, mfu 14.59%
iter 2920: loss 5.1150, time 74.77ms, mfu 14.59%
iter 2930: loss 4.8765, time 74.58ms, mfu 14.60%
iter 2940: loss 4.7351, time 74.67ms, mfu 14.60%
iter 2950: loss 4.8771, time 75.31ms, mfu 14.59%
iter 2960: loss 5.0187, time 74.86ms, mfu 14.59%
iter 2970: loss 4.9580, time 74.90ms, mfu 14.59%
iter 2980: loss 5.0098, time 75.08ms, mfu 14.58%
iter 2990: loss 4.7926, time 74.56ms, mfu 14.59%
0.3003855546315511
0.7570947806040446
0.9826087156931559
0.881684144337972
0.7586237589518229
0.8056962490081787
step 3000: train loss 4.8797, val loss 4.8706
saving checkpoint to out-nano-gpt2-BiLinReGLU
iter 3000: loss 4.6849, time 17744.64ms, mfu 13.14%
iter 3010: loss 4.9129, time 75.70ms, mfu 13.27%
iter 3020: loss 4.9255, time 74.82ms, mfu 13.40%
iter 3030: loss 5.0277, time 74.82ms, mfu 13.52%
iter 3040: loss 4.9283, time 74.91ms, mfu 13.62%
iter 3050: loss 4.7597, time 74.91ms, mfu 13.72%
iter 3060: loss 4.7606, time 74.93ms, mfu 13.81%
iter 3070: loss 4.8436, time 75.00ms, mfu 13.88%
iter 3080: loss 4.6862, time 73.30ms, mfu 13.98%
iter 3090: loss 4.8611, time 74.76ms, mfu 14.04%
iter 3100: loss 4.6501, time 74.64ms, mfu 14.10%
iter 3110: loss 4.8882, time 74.35ms, mfu 14.16%
iter 3120: loss 4.9058, time 74.75ms, mfu 14.21%
iter 3130: loss 4.9712, time 74.88ms, mfu 14.24%
iter 3140: loss 4.8566, time 75.00ms, mfu 14.28%
iter 3150: loss 4.8528, time 74.87ms, mfu 14.31%
iter 3160: loss 4.8653, time 75.45ms, mfu 14.32%
iter 3170: loss 4.6732, time 74.35ms, mfu 14.36%
iter 3180: loss 4.8161, time 74.85ms, mfu 14.38%
iter 3190: loss 4.9333, time 75.21ms, mfu 14.40%
iter 3200: loss 4.6707, time 74.81ms, mfu 14.42%
iter 3210: loss 4.7120, time 74.78ms, mfu 14.43%
iter 3220: loss 4.7505, time 74.80ms, mfu 14.45%
iter 3230: loss 4.7287, time 74.77ms, mfu 14.47%
iter 3240: loss 4.6501, time 74.72ms, mfu 14.48%
iter 3250: loss 4.9756, time 74.92ms, mfu 14.49%
iter 3260: loss 4.6522, time 74.76ms, mfu 14.50%
iter 3270: loss 4.8100, time 74.81ms, mfu 14.51%
iter 3280: loss 4.8118, time 74.80ms, mfu 14.52%
iter 3290: loss 4.7560, time 75.05ms, mfu 14.52%
iter 3300: loss 4.7681, time 75.25ms, mfu 14.52%
iter 3310: loss 4.8793, time 74.81ms, mfu 14.53%
iter 3320: loss 4.7098, time 74.71ms, mfu 14.54%
iter 3330: loss 4.6766, time 74.58ms, mfu 14.55%
iter 3340: loss 4.7957, time 74.73ms, mfu 14.55%
iter 3350: loss 4.7707, time 74.64ms, mfu 14.56%
iter 3360: loss 4.6676, time 74.81ms, mfu 14.57%
iter 3370: loss 4.7005, time 75.00ms, mfu 14.57%
iter 3380: loss 4.7703, time 74.40ms, mfu 14.58%
iter 3390: loss 4.7986, time 75.44ms, mfu 14.57%
iter 3400: loss 4.5608, time 75.18ms, mfu 14.56%
iter 3410: loss 4.6836, time 74.77ms, mfu 14.57%
iter 3420: loss 4.7631, time 75.05ms, mfu 14.56%
iter 3430: loss 4.7781, time 74.81ms, mfu 14.57%
iter 3440: loss 4.8212, time 74.95ms, mfu 14.57%
iter 3450: loss 4.7490, time 74.89ms, mfu 14.57%
iter 3460: loss 4.7086, time 75.00ms, mfu 14.57%
iter 3470: loss 4.5878, time 74.95ms, mfu 14.57%
iter 3480: loss 4.8438, time 74.75ms, mfu 14.57%
iter 3490: loss 4.9875, time 75.19ms, mfu 14.57%
iter 3500: loss 4.7106, time 74.67ms, mfu 14.57%
iter 3510: loss 4.6551, time 75.04ms, mfu 14.57%
iter 3520: loss 4.7594, time 74.65ms, mfu 14.58%
iter 3530: loss 4.7864, time 75.16ms, mfu 14.57%
iter 3540: loss 4.6312, time 74.63ms, mfu 14.58%
iter 3550: loss 4.6018, time 74.62ms, mfu 14.58%
iter 3560: loss 4.6791, time 74.83ms, mfu 14.58%
iter 3570: loss 4.6440, time 74.70ms, mfu 14.59%
iter 3580: loss 4.8210, time 74.79ms, mfu 14.59%
iter 3590: loss 4.7149, time 74.62ms, mfu 14.59%
iter 3600: loss 4.6659, time 74.79ms, mfu 14.59%
iter 3610: loss 4.7001, time 75.03ms, mfu 14.59%
iter 3620: loss 4.6119, time 75.07ms, mfu 14.59%
iter 3630: loss 4.6387, time 74.67ms, mfu 14.59%
iter 3640: loss 4.7219, time 75.02ms, mfu 14.59%
iter 3650: loss 4.5752, time 74.91ms, mfu 14.59%
iter 3660: loss 4.7079, time 74.62ms, mfu 14.59%
iter 3670: loss 4.6533, time 74.77ms, mfu 14.59%
iter 3680: loss 4.7861, time 75.06ms, mfu 14.59%
iter 3690: loss 4.7896, time 75.12ms, mfu 14.58%
iter 3700: loss 4.5878, time 74.90ms, mfu 14.58%
iter 3710: loss 4.8010, time 74.85ms, mfu 14.58%
iter 3720: loss 4.6904, time 74.88ms, mfu 14.58%
iter 3730: loss 4.7962, time 74.97ms, mfu 14.58%
iter 3740: loss 4.6536, time 74.53ms, mfu 14.59%
iter 3750: loss 4.6363, time 75.04ms, mfu 14.58%
iter 3760: loss 4.6436, time 74.74ms, mfu 14.59%
iter 3770: loss 4.6540, time 74.85ms, mfu 14.59%
iter 3780: loss 4.7863, time 74.87ms, mfu 14.59%
iter 3790: loss 4.6450, time 75.07ms, mfu 14.58%
iter 3800: loss 4.4622, time 74.78ms, mfu 14.58%
iter 3810: loss 4.5903, time 74.90ms, mfu 14.58%
iter 3820: loss 4.6593, time 74.84ms, mfu 14.58%
iter 3830: loss 4.5825, time 74.83ms, mfu 14.59%
iter 3840: loss 4.6929, time 74.88ms, mfu 14.59%
iter 3850: loss 4.7542, time 74.81ms, mfu 14.59%
iter 3860: loss 4.6765, time 74.87ms, mfu 14.59%
iter 3870: loss 4.6992, time 74.80ms, mfu 14.59%
iter 3880: loss 4.7606, time 74.82ms, mfu 14.59%
iter 3890: loss 4.7142, time 74.71ms, mfu 14.59%
iter 3900: loss 4.7317, time 75.04ms, mfu 14.59%
iter 3910: loss 4.5994, time 74.86ms, mfu 14.59%
iter 3920: loss 4.7494, time 74.73ms, mfu 14.59%
iter 3930: loss 4.5454, time 74.58ms, mfu 14.59%
iter 3940: loss 4.6021, time 74.69ms, mfu 14.60%
iter 3950: loss 4.8348, time 74.78ms, mfu 14.60%
iter 3960: loss 4.5153, time 74.20ms, mfu 14.61%
