Overriding config with ./config/train_nano_gpt2.py:
# init_from = 'resume'

out_dir = 'out-nano-gpt2-BlockBiLiGLU'
eval_interval = 1000
eval_iters = 500 # number of batches for evaluation
log_interval = 10

always_save_checkpoint = False

wandb_log = False

dataset = 'openwebtext'
# 16k tokens for each weight update
gradient_accumulation_steps = 1
batch_size = 16
block_size = 1024

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384

# learning_rate = 2e-4
# min_lr = 2e-5 # learning_rate / 10 usually
learning_rate = 1e-3
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

# max_iters = 1e5
max_iters = 1e5
lr_decay_iters = 1e5 # make equal to max_iters usually

warmup_iters = 100

tokens per iteration will be: 16,384
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
number of parameters: 32.33M
num decayed parameter tensors: 44, with 32,722,944 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 830: loss 5.7638, time 74.57ms, mfu 15.66%
iter 840: loss 5.3901, time 74.55ms, mfu 15.66%
iter 850: loss 5.6361, time 74.52ms, mfu 15.66%
iter 860: loss 5.5267, time 74.56ms, mfu 15.66%
iter 870: loss 5.6909, time 74.54ms, mfu 15.66%
iter 880: loss 5.6589, time 74.55ms, mfu 15.66%
iter 890: loss 5.7733, time 74.53ms, mfu 15.66%
iter 900: loss 5.6865, time 74.56ms, mfu 15.66%
iter 910: loss 5.4917, time 74.58ms, mfu 15.66%
iter 920: loss 5.5257, time 74.54ms, mfu 15.66%
iter 930: loss 5.5461, time 74.53ms, mfu 15.66%
iter 940: loss 5.5054, time 74.57ms, mfu 15.66%
iter 950: loss 5.3681, time 74.49ms, mfu 15.66%
iter 960: loss 5.4921, time 74.57ms, mfu 15.66%
iter 970: loss 5.7402, time 74.60ms, mfu 15.66%
iter 980: loss 5.6249, time 74.54ms, mfu 15.66%
iter 990: loss 5.6320, time 74.51ms, mfu 15.66%
0.07128143310546875
0.5689582824707031
0.7596778869628906
0.829193115234375
0.9161186218261719
0.910980224609375
step 1000: train loss 5.5761, val loss 5.5601
saving checkpoint to out-nano-gpt2-BlockBiLiGLU
iter 1000: loss 5.5541, time 17546.37ms, mfu 14.10%
iter 1010: loss 5.5026, time 74.68ms, mfu 14.25%
iter 1020: loss 5.5264, time 74.63ms, mfu 14.39%
iter 1030: loss 5.4963, time 74.60ms, mfu 14.52%
iter 1040: loss 5.5371, time 74.60ms, mfu 14.63%
iter 1050: loss 5.6518, time 74.59ms, mfu 14.73%
iter 1060: loss 5.4713, time 74.67ms, mfu 14.82%
iter 1070: loss 5.6380, time 74.59ms, mfu 14.91%
iter 1080: loss 5.5537, time 74.65ms, mfu 14.98%
iter 1090: loss 5.3314, time 74.59ms, mfu 15.05%
iter 1100: loss 5.5550, time 74.73ms, mfu 15.10%
iter 1110: loss 5.3389, time 74.51ms, mfu 15.16%
iter 1120: loss 5.3768, time 74.25ms, mfu 15.22%
iter 1130: loss 5.4030, time 74.62ms, mfu 15.26%
iter 1140: loss 5.3436, time 74.58ms, mfu 15.30%
iter 1150: loss 5.4000, time 74.66ms, mfu 15.33%
iter 1160: loss 5.4469, time 74.84ms, mfu 15.36%
iter 1170: loss 5.3290, time 73.47ms, mfu 15.41%
iter 1180: loss 5.7610, time 74.51ms, mfu 15.44%
iter 1190: loss 5.5911, time 74.62ms, mfu 15.46%
iter 1200: loss 5.4473, time 75.10ms, mfu 15.47%
iter 1210: loss 5.3413, time 74.71ms, mfu 15.48%
iter 1220: loss 5.4221, time 74.61ms, mfu 15.50%
iter 1230: loss 5.4443, time 74.67ms, mfu 15.51%
iter 1240: loss 5.4822, time 74.66ms, mfu 15.53%
iter 1250: loss 5.4548, time 74.63ms, mfu 15.54%
iter 1260: loss 5.4379, time 74.61ms, mfu 15.55%
iter 1270: loss 5.4337, time 74.64ms, mfu 15.56%
iter 1280: loss 5.3465, time 74.60ms, mfu 15.57%
iter 1290: loss 5.4738, time 74.67ms, mfu 15.57%
iter 1300: loss 5.3163, time 74.66ms, mfu 15.58%
iter 1310: loss 5.3160, time 74.66ms, mfu 15.59%
iter 1320: loss 5.2941, time 74.61ms, mfu 15.59%
iter 1330: loss 5.3478, time 74.61ms, mfu 15.60%
iter 1340: loss 5.2194, time 74.63ms, mfu 15.60%
iter 1350: loss 5.3503, time 74.65ms, mfu 15.61%
iter 1360: loss 5.3479, time 74.97ms, mfu 15.60%
iter 1370: loss 5.1818, time 74.68ms, mfu 15.61%
iter 1380: loss 5.2437, time 74.62ms, mfu 15.61%
iter 1390: loss 5.2831, time 74.67ms, mfu 15.61%
iter 1400: loss 5.3916, time 74.58ms, mfu 15.62%
iter 1410: loss 5.2682, time 74.63ms, mfu 15.62%
iter 1420: loss 5.2752, time 74.67ms, mfu 15.62%
iter 1430: loss 5.2347, time 74.66ms, mfu 15.62%
iter 1440: loss 5.3078, time 74.65ms, mfu 15.62%
iter 1450: loss 5.3304, time 74.55ms, mfu 15.63%
iter 1460: loss 5.4050, time 74.76ms, mfu 15.63%
iter 1470: loss 5.1675, time 74.65ms, mfu 15.63%
iter 1480: loss 5.2533, time 74.62ms, mfu 15.63%
iter 1490: loss 5.2324, time 75.04ms, mfu 15.62%
iter 1500: loss 5.3474, time 74.63ms, mfu 15.62%
iter 1510: loss 5.2424, time 74.58ms, mfu 15.63%
iter 1520: loss 5.2343, time 74.64ms, mfu 15.63%
iter 1530: loss 5.3456, time 74.62ms, mfu 15.63%
iter 1540: loss 5.0963, time 73.36ms, mfu 15.66%
iter 1550: loss 5.2474, time 74.60ms, mfu 15.66%
iter 1560: loss 5.3354, time 74.64ms, mfu 15.66%
iter 1570: loss 5.2151, time 74.63ms, mfu 15.65%
iter 1580: loss 5.2507, time 74.69ms, mfu 15.65%
iter 1590: loss 5.2277, time 74.63ms, mfu 15.65%
iter 1600: loss 5.0208, time 74.68ms, mfu 15.65%
iter 1610: loss 5.1187, time 74.21ms, mfu 15.66%
iter 1620: loss 5.1819, time 74.66ms, mfu 15.66%
iter 1630: loss 5.4399, time 74.59ms, mfu 15.66%
iter 1640: loss 5.1422, time 74.52ms, mfu 15.66%
iter 1650: loss 5.1180, time 74.63ms, mfu 15.66%
iter 1660: loss 5.1023, time 74.78ms, mfu 15.65%
iter 1670: loss 5.1778, time 74.69ms, mfu 15.65%
iter 1680: loss 5.0664, time 74.63ms, mfu 15.65%
iter 1690: loss 5.0021, time 74.64ms, mfu 15.65%
iter 1700: loss 5.4933, time 74.57ms, mfu 15.65%
iter 1710: loss 5.4236, time 74.65ms, mfu 15.65%
iter 1720: loss 5.0635, time 74.57ms, mfu 15.65%
iter 1730: loss 5.1145, time 74.64ms, mfu 15.65%
iter 1740: loss 5.2095, time 74.50ms, mfu 15.65%
iter 1750: loss 5.1318, time 74.64ms, mfu 15.65%
iter 1760: loss 5.0917, time 74.58ms, mfu 15.65%
iter 1770: loss 5.1006, time 74.63ms, mfu 15.65%
iter 1780: loss 5.1749, time 74.72ms, mfu 15.65%
iter 1790: loss 5.2931, time 74.68ms, mfu 15.65%
iter 1800: loss 5.0395, time 74.63ms, mfu 15.64%
iter 1810: loss 5.2419, time 74.66ms, mfu 15.64%
iter 1820: loss 5.1763, time 74.62ms, mfu 15.64%
iter 1830: loss 4.9259, time 74.58ms, mfu 15.65%
iter 1840: loss 5.0761, time 74.65ms, mfu 15.64%
iter 1850: loss 5.2364, time 74.64ms, mfu 15.64%
iter 1860: loss 5.0789, time 74.69ms, mfu 15.64%
iter 1870: loss 5.5097, time 75.00ms, mfu 15.64%
iter 1880: loss 5.0896, time 74.61ms, mfu 15.64%
iter 1890: loss 5.0962, time 74.66ms, mfu 15.64%
iter 1900: loss 5.0627, time 74.64ms, mfu 15.64%
iter 1910: loss 5.0494, time 74.57ms, mfu 15.64%
iter 1920: loss 4.9658, time 73.46ms, mfu 15.66%
iter 1930: loss 4.9876, time 74.64ms, mfu 15.66%
iter 1940: loss 5.0913, time 74.59ms, mfu 15.66%
iter 1950: loss 5.2195, time 74.63ms, mfu 15.66%
iter 1960: loss 5.0701, time 74.60ms, mfu 15.66%
iter 1970: loss 4.8770, time 74.65ms, mfu 15.66%
iter 1980: loss 5.1694, time 74.66ms, mfu 15.65%
iter 1990: loss 4.9681, time 74.59ms, mfu 15.65%
0.053356170654296875
0.5595550537109375
0.686767578125
0.7797126770019531
0.8333549499511719
0.803070068359375
step 2000: train loss 5.0753, val loss 5.0564
saving checkpoint to out-nano-gpt2-BlockBiLiGLU
iter 2000: loss 5.1178, time 17629.99ms, mfu 14.10%
iter 2010: loss 5.1776, time 74.68ms, mfu 14.25%
iter 2020: loss 5.2121, time 74.69ms, mfu 14.39%
iter 2030: loss 5.1760, time 74.66ms, mfu 14.51%
iter 2040: loss 5.0753, time 74.70ms, mfu 14.62%
iter 2050: loss 5.0248, time 74.65ms, mfu 14.73%
iter 2060: loss 4.8837, time 74.69ms, mfu 14.82%
iter 2070: loss 5.0065, time 74.59ms, mfu 14.90%
iter 2080: loss 4.9906, time 75.10ms, mfu 14.96%
iter 2090: loss 4.9846, time 74.74ms, mfu 15.03%
iter 2100: loss 5.0546, time 74.65ms, mfu 15.09%
iter 2110: loss 4.9101, time 74.72ms, mfu 15.14%
iter 2120: loss 5.1434, time 74.64ms, mfu 15.19%
iter 2130: loss 4.9155, time 74.68ms, mfu 15.24%
iter 2140: loss 5.0879, time 74.63ms, mfu 15.28%
iter 2150: loss 5.0081, time 74.64ms, mfu 15.31%
iter 2160: loss 5.0056, time 74.74ms, mfu 15.35%
iter 2170: loss 5.0044, time 74.68ms, mfu 15.37%
iter 2180: loss 5.0202, time 74.67ms, mfu 15.40%
iter 2190: loss 4.8641, time 74.76ms, mfu 15.42%
iter 2200: loss 5.1295, time 74.67ms, mfu 15.44%
iter 2210: loss 5.1384, time 74.78ms, mfu 15.46%
iter 2220: loss 4.7941, time 74.67ms, mfu 15.48%
iter 2230: loss 5.0519, time 74.72ms, mfu 15.49%
iter 2240: loss 4.9214, time 74.67ms, mfu 15.51%
iter 2250: loss 5.1596, time 74.72ms, mfu 15.52%
iter 2260: loss 4.9941, time 74.66ms, mfu 15.53%
iter 2270: loss 4.8722, time 74.68ms, mfu 15.54%
iter 2280: loss 5.0743, time 74.19ms, mfu 15.56%
iter 2290: loss 4.9802, time 74.65ms, mfu 15.57%
iter 2300: loss 4.8401, time 74.65ms, mfu 15.58%
iter 2310: loss 4.9637, time 74.65ms, mfu 15.58%
iter 2320: loss 5.0671, time 74.68ms, mfu 15.59%
iter 2330: loss 5.0036, time 74.66ms, mfu 15.59%
iter 2340: loss 5.0273, time 74.79ms, mfu 15.59%
iter 2350: loss 5.0341, time 74.62ms, mfu 15.60%
iter 2360: loss 4.9735, time 74.56ms, mfu 15.60%
iter 2370: loss 4.9124, time 74.60ms, mfu 15.61%
iter 2380: loss 4.9610, time 74.50ms, mfu 15.62%
iter 2390: loss 5.0023, time 74.67ms, mfu 15.62%
iter 2400: loss 5.0272, time 74.61ms, mfu 15.62%
iter 2410: loss 4.8094, time 74.59ms, mfu 15.62%
iter 2420: loss 4.7747, time 74.59ms, mfu 15.63%
iter 2430: loss 4.8594, time 74.56ms, mfu 15.63%
iter 2440: loss 5.0476, time 74.27ms, mfu 15.64%
iter 2450: loss 5.1093, time 74.60ms, mfu 15.64%
iter 2460: loss 5.0501, time 74.56ms, mfu 15.64%
iter 2470: loss 4.6834, time 74.70ms, mfu 15.64%
iter 2480: loss 4.7687, time 74.60ms, mfu 15.64%
iter 2490: loss 4.9009, time 75.87ms, mfu 15.62%
iter 2500: loss 4.8271, time 74.60ms, mfu 15.62%
iter 2510: loss 4.8821, time 74.57ms, mfu 15.62%
iter 2520: loss 4.9450, time 73.77ms, mfu 15.64%
iter 2530: loss 4.9139, time 74.52ms, mfu 15.65%
iter 2540: loss 5.0730, time 74.59ms, mfu 15.65%
iter 2550: loss 4.8297, time 74.62ms, mfu 15.65%
iter 2560: loss 4.7569, time 74.61ms, mfu 15.65%
iter 2570: loss 4.9903, time 74.41ms, mfu 15.65%
iter 2580: loss 4.7068, time 75.06ms, mfu 15.64%
iter 2590: loss 4.8895, time 74.61ms, mfu 15.64%
iter 2600: loss 4.9407, time 74.36ms, mfu 15.65%
iter 2610: loss 4.7641, time 74.63ms, mfu 15.65%
iter 2620: loss 4.8442, time 74.58ms, mfu 15.65%
iter 2630: loss 4.9059, time 74.59ms, mfu 15.65%
iter 2640: loss 4.8844, time 74.54ms, mfu 15.65%
iter 2650: loss 4.9651, time 74.55ms, mfu 15.65%
iter 2660: loss 4.7221, time 74.56ms, mfu 15.65%
iter 2670: loss 4.9815, time 74.58ms, mfu 15.65%
iter 2680: loss 4.7402, time 74.63ms, mfu 15.65%
iter 2690: loss 5.0413, time 74.59ms, mfu 15.65%
iter 2700: loss 4.9279, time 74.61ms, mfu 15.65%
iter 2710: loss 4.8729, time 74.65ms, mfu 15.65%
iter 2720: loss 4.6233, time 74.57ms, mfu 15.65%
iter 2730: loss 4.9897, time 74.55ms, mfu 15.65%
iter 2740: loss 5.0280, time 74.53ms, mfu 15.65%
iter 2750: loss 4.6964, time 74.54ms, mfu 15.65%
iter 2760: loss 4.8794, time 74.58ms, mfu 15.65%
iter 2770: loss 5.2013, time 74.64ms, mfu 15.65%
iter 2780: loss 5.0254, time 74.52ms, mfu 15.65%
iter 2790: loss 4.9071, time 74.57ms, mfu 15.65%
iter 2800: loss 4.8877, time 74.58ms, mfu 15.65%
iter 2810: loss 4.8483, time 74.58ms, mfu 15.65%
iter 2820: loss 4.6651, time 74.59ms, mfu 15.65%
iter 2830: loss 4.7293, time 74.58ms, mfu 15.65%
iter 2840: loss 4.7613, time 74.53ms, mfu 15.65%
iter 2850: loss 4.9490, time 74.56ms, mfu 15.66%
iter 2860: loss 4.9849, time 74.55ms, mfu 15.66%
iter 2870: loss 4.8606, time 74.88ms, mfu 15.65%
iter 2880: loss 4.6914, time 74.54ms, mfu 15.65%
iter 2890: loss 4.6889, time 74.59ms, mfu 15.65%
iter 2900: loss 4.6714, time 74.64ms, mfu 15.65%
iter 2910: loss 4.7395, time 75.03ms, mfu 15.64%
iter 2920: loss 4.7484, time 74.64ms, mfu 15.64%
iter 2930: loss 4.7581, time 74.63ms, mfu 15.64%
iter 2940: loss 4.6531, time 75.59ms, mfu 15.62%
iter 2950: loss 4.7680, time 74.54ms, mfu 15.63%
iter 2960: loss 4.8167, time 74.67ms, mfu 15.63%
iter 2970: loss 4.8507, time 74.61ms, mfu 15.63%
iter 2980: loss 4.9244, time 74.62ms, mfu 15.63%
iter 2990: loss 5.1111, time 74.61ms, mfu 15.63%
0.04586029052734375
0.5686187744140625
0.6638946533203125
0.7551727294921875
0.7606430053710938
0.7382431030273438
step 3000: train loss 4.7880, val loss 4.7909
saving checkpoint to out-nano-gpt2-BlockBiLiGLU
iter 3000: loss 4.7010, time 17627.05ms, mfu 14.08%
iter 3010: loss 4.8853, time 74.68ms, mfu 14.23%
iter 3020: loss 4.7527, time 74.66ms, mfu 14.37%
iter 3030: loss 4.6492, time 74.66ms, mfu 14.50%
iter 3040: loss 5.0211, time 74.64ms, mfu 14.61%
iter 3050: loss 4.6957, time 74.66ms, mfu 14.72%
iter 3060: loss 4.6810, time 74.78ms, mfu 14.80%
iter 3070: loss 4.6377, time 74.69ms, mfu 14.89%
iter 3080: loss 4.5576, time 74.69ms, mfu 14.96%
iter 3090: loss 4.6747, time 74.62ms, mfu 15.03%
iter 3100: loss 4.7707, time 74.67ms, mfu 15.09%
iter 3110: loss 4.8914, time 74.69ms, mfu 15.14%
iter 3120: loss 4.7890, time 74.69ms, mfu 15.19%
iter 3130: loss 4.7575, time 74.69ms, mfu 15.24%
iter 3140: loss 4.7125, time 74.72ms, mfu 15.28%
iter 3150: loss 4.8491, time 74.71ms, mfu 15.31%
iter 3160: loss 4.7125, time 74.64ms, mfu 15.34%
iter 3170: loss 4.6839, time 74.68ms, mfu 15.37%
iter 3180: loss 4.9696, time 74.69ms, mfu 15.40%
iter 3190: loss 4.7235, time 73.42ms, mfu 15.45%
iter 3200: loss 4.8010, time 74.72ms, mfu 15.47%
iter 3210: loss 4.6524, time 74.90ms, mfu 15.48%
iter 3220: loss 4.7318, time 74.66ms, mfu 15.49%
iter 3230: loss 4.7787, time 74.39ms, mfu 15.51%
iter 3240: loss 4.6322, time 74.68ms, mfu 15.53%
iter 3250: loss 4.6943, time 74.70ms, mfu 15.54%
iter 3260: loss 4.6426, time 74.72ms, mfu 15.55%
iter 3270: loss 4.5814, time 74.69ms, mfu 15.55%
iter 3280: loss 4.6869, time 74.74ms, mfu 15.56%
iter 3290: loss 4.7756, time 75.02ms, mfu 15.56%
iter 3300: loss 4.7818, time 74.63ms, mfu 15.57%
iter 3310: loss 4.5662, time 74.67ms, mfu 15.58%
iter 3320: loss 4.7400, time 74.57ms, mfu 15.58%
iter 3330: loss 4.7544, time 74.71ms, mfu 15.59%
iter 3340: loss 4.5953, time 74.58ms, mfu 15.59%
iter 3350: loss 4.7207, time 74.60ms, mfu 15.60%
iter 3360: loss 4.7482, time 74.64ms, mfu 15.60%
iter 3370: loss 4.7383, time 74.61ms, mfu 15.61%
iter 3380: loss 4.6122, time 74.56ms, mfu 15.61%
iter 3390: loss 4.7316, time 74.58ms, mfu 15.62%
iter 3400: loss 4.6729, time 74.59ms, mfu 15.62%
iter 3410: loss 4.4879, time 74.65ms, mfu 15.62%
iter 3420: loss 4.7810, time 74.57ms, mfu 15.63%
iter 3430: loss 4.4905, time 74.54ms, mfu 15.63%
iter 3440: loss 4.4748, time 74.55ms, mfu 15.63%
iter 3450: loss 4.6820, time 74.38ms, mfu 15.64%
iter 3460: loss 4.6080, time 74.60ms, mfu 15.64%
iter 3470: loss 4.6740, time 74.56ms, mfu 15.64%
iter 3480: loss 4.7240, time 74.59ms, mfu 15.64%
iter 3490: loss 4.4973, time 74.58ms, mfu 15.64%
iter 3500: loss 4.7300, time 74.76ms, mfu 15.64%
iter 3510: loss 4.5919, time 74.55ms, mfu 15.64%
iter 3520: loss 4.5212, time 74.60ms, mfu 15.64%
iter 3530: loss 4.5326, time 74.59ms, mfu 15.64%
iter 3540: loss 4.8546, time 74.10ms, mfu 15.66%
iter 3550: loss 4.6412, time 74.59ms, mfu 15.66%
iter 3560: loss 4.7220, time 74.63ms, mfu 15.65%
iter 3570: loss 4.6121, time 74.85ms, mfu 15.65%
iter 3580: loss 4.7701, time 74.59ms, mfu 15.65%
iter 3590: loss 4.4905, time 74.57ms, mfu 15.65%
iter 3600: loss 4.6178, time 74.58ms, mfu 15.65%
iter 3610: loss 4.6315, time 74.44ms, mfu 15.65%
iter 3620: loss 4.6128, time 74.15ms, mfu 15.66%
iter 3630: loss 4.8260, time 74.57ms, mfu 15.66%
iter 3640: loss 4.5160, time 74.61ms, mfu 15.66%
iter 3650: loss 4.7125, time 74.60ms, mfu 15.66%
iter 3660: loss 4.4970, time 74.64ms, mfu 15.66%
iter 3670: loss 4.3267, time 74.62ms, mfu 15.66%
iter 3680: loss 4.5855, time 74.59ms, mfu 15.66%
iter 3690: loss 4.4599, time 74.59ms, mfu 15.66%
iter 3700: loss 4.7679, time 74.61ms, mfu 15.65%
iter 3710: loss 4.4328, time 74.56ms, mfu 15.65%
iter 3720: loss 4.5334, time 74.63ms, mfu 15.65%
iter 3730: loss 4.5306, time 74.55ms, mfu 15.65%
iter 3740: loss 4.7450, time 74.65ms, mfu 15.65%
iter 3750: loss 4.5926, time 74.57ms, mfu 15.65%
iter 3760: loss 4.5875, time 74.60ms, mfu 15.65%
iter 3770: loss 4.7602, time 74.58ms, mfu 15.65%
iter 3780: loss 4.5040, time 74.56ms, mfu 15.65%
iter 3790: loss 4.5557, time 74.61ms, mfu 15.65%
iter 3800: loss 4.6380, time 74.58ms, mfu 15.65%
iter 3810: loss 4.7061, time 74.64ms, mfu 15.65%
iter 3820: loss 4.5579, time 74.56ms, mfu 15.65%
iter 3830: loss 4.6175, time 75.17ms, mfu 15.64%
iter 3840: loss 4.4622, time 74.59ms, mfu 15.64%
iter 3850: loss 4.4104, time 74.60ms, mfu 15.64%
iter 3860: loss 4.5205, time 74.58ms, mfu 15.64%
iter 3870: loss 4.5774, time 74.62ms, mfu 15.64%
iter 3880: loss 4.5797, time 74.56ms, mfu 15.65%
iter 3890: loss 4.5679, time 74.60ms, mfu 15.65%
iter 3900: loss 4.5966, time 74.59ms, mfu 15.65%
iter 3910: loss 4.4882, time 74.78ms, mfu 15.64%
iter 3920: loss 4.5540, time 74.59ms, mfu 15.64%
iter 3930: loss 4.4700, time 74.57ms, mfu 15.64%
iter 3940: loss 4.5407, time 74.57ms, mfu 15.65%
iter 3950: loss 4.8181, time 74.53ms, mfu 15.65%
iter 3960: loss 4.6559, time 74.57ms, mfu 15.65%
